sector,year,total_funding
Logistics Tech Platform,2015.0,1610000.0
Logistics service platform,2015.0,245000.0
Loyalty Programs & Reward Points,2015.0,500000.0
Luxury Apparel rental,2015.0,0.0
Luxury Label,2019.0,1000000.0
Luxury Rental Homes,2015.0,12750000.0
Luxury goods\\xc2\\xa0 Shopping Platform,2015.0,900000.0
Machine Learning Platform,2015.0,0.0
Marketing / Advertising Automation platform,2015.0,1000000.0
Marketplace App for Bangkok,2015.0,1900000.0
Material Collection & Recycling,2015.0,4000000.0
Media,2018.0,535000.0
Medical Consultation & Doctor appointment booking platform,2015.0,500000.0
Medical Tech Instruments,2015.0,2400000.0
Micro Finance Platform,2015.0,8600000.0
Micro-Brewery,2015.0,1530000.0
Mobile Advertising platform,2015.0,100000000.0
Mobile App Development,2015.0,12000000.0
Mobile App based Loan disbursement platform,2015.0,1500000.0
Mobile App testing platform,2015.0,1200000.0
Mobile Application Developer,2015.0,0.0
Mobile Car Servicing appointment app,2015.0,500000.0
Mobile Chat based concierge service,2015.0,1600000.0
Mobile Commerce Platform,2015.0,234000.0
Mobile Commerce for Farmers,2015.0,4000000.0
Mobile Compression Software,2015.0,350000.0
Mobile Fitness App,2015.0,1000000.0
Mobile Fitness Marketplace,2015.0,0.0
Mobile Food Ordering app,2015.0,0.0
Mobile Game development & Design platform,2015.0,1000000.0
Mobile Growth Hacking\\nPlatform,2015.0,500000.0
Mobile Health Tech,2015.0,0.0
Mobile Laundry Cleaning Service,2015.0,2000000.0
Mobile Learning Solutions,2015.0,300000.0
Mobile Marketing Automation Platform,2015.0,4250000.0
Mobile Messaging Assistant App,2015.0,2500000.0
Mobile Only Shopping Assistant,2015.0,1000000.0
Mobile Payments App,2015.0,6000000.0
Mobile Point of Sale payment solution,2015.0,25000000.0
Mobile Point of Sale solutions,2015.0,2500000.0
Mobile Services Marketplace,2015.0,25000000.0
Mobile Wallet,2015.0,6600000.0
Mobile accessories online store,2015.0,3000000.0
Mobile based PoS solution,2015.0,25000000.0
Modular Furnishings Marketplace,2015.0,3500000.0
Movie-on-demand platform,2015.0,350000.0
Multilingual Test Preparation Platform,2015.0,770000.0
Music Streaming App,2015.0,100000000.0
Music Streaming mobile app,2015.0,0.0
Mutual Fund Investing platform,2015.0,2500000.0
NBFC,2018.0,27799000.0
Nanotechnology,2019.0,600000.0
New Curation Mobile App,2015.0,150000.0
Nightlife Discovery Mobile App,2015.0,150000.0
Non Profit Organization to alleviate poverty,2015.0,315000.0
Nonbanking finance company,2015.0,3000000.0
Numerical Computing & Data Science Platform,2015.0,600000.0
Off-grid Solar Power,2015.0,40000000.0
Offline Tea Chain,2015.0,1000000.0
On Demand Beauty Services Platform,2015.0,0.0
On Demand Laundry Service platform,2015.0,0.0
On Demand Laundry Services App,2015.0,110000.0
On Demand Mobile app developer,2015.0,100000.0
On demand cleaning & fixing services,2015.0,0.0
On-Demand App based Professional service provider,2015.0,1000000.0
On-Demand Beauty Service,2015.0,400000.0
On-Demand Beauty Services,2015.0,0.0
On-Demand Business messaging,2015.0,200000.0
On-Demand Car services App,2015.0,0.0
On-Demand Delivery Logistics,2015.0,1300000.0
On-Demand Handyman Services,2015.0,0.0
On-Demand Laundry & Dry cleaning App,2015.0,0.0
On-Demand Local Logistics provider,2015.0,0.0
On-Demand Logistics Service,2015.0,0.0
On-demand Maids Service Provider,2015.0,150000.0
On-demand Service marketplace,2015.0,2000000.0
OnDemand\\nMobile Handyman Services,2015.0,1200000.0
Online & Mobile classified listings,2015.0,60000000.0
Online & mobile Grocery store,2015.0,50000000.0
Online / Mobile Customer Support,2015.0,50000000.0
Online Apparels Fashion brand,2015.0,0.0
Online Art Marketplace,2015.0,200000.0
Online Branded Furniture etailer,2015.0,5000000.0
Online Budget Hotel Booking Service,2015.0,6000000.0
Online Bus & Cab ticketing platform,2015.0,0.0
Online Car Portal,2015.0,0.0
Online Car Rental Affiliates,2015.0,100000.0
Online Certification Courses,2015.0,15000000.0
Online City & Lifestyle Guide,2015.0,150000.0
Online Classifieds,2015.0,150000000.0
Online Classifieds & Listings,2015.0,28000000.0
Online Coffee Delivery platform,2015.0,300000.0
Online Consumer Lending platform,2015.0,1000000.0
Online Counselling and psychological support platform,2015.0,400000.0
Online Coupon & comparison platform,2015.0,500000.0
Online Curated Holiday package bookings,2015.0,0.0
Online Diagnostic Tests Marketplace,2015.0,156000.0
Online Ed-Tech Platform,2015.0,1000000.0
Online Education,2018.0,572000.0
Online Education Information platform,2015.0,1000000.0
Online Education Marketplace,2015.0,0.0
Online Education Platform,2015.0,15000000.0
Online Fashion Aggregator,2015.0,250000.0
Online Fashion Video Portal,2015.0,1000000.0
