sector,total_funding,deal_count
Fast food Chain Franchisee,630000.0,1
Hyperlocal Electronics repair Service,630000.0,1
Customer Engagement Platform,625000.0,2
Nanotechnology,600000.0,1
Visual Blogging platform,600000.0,1
Online Food ordering & delivery,600000.0,1
Online Jewelry Store,600000.0,1
Numerical Computing & Data Science Platform,600000.0,1
Online marketplace for Photographers,600000.0,1
Branded Food products online sales,600000.0,1
Test Automation SAAS platform,600000.0,1
Community Driven News/Views Platform,600000.0,1
Online Education,572000.0,1
Workforce Management Software,550000.0,1
Probiotic Technology Products Manufacturer,550000.0,1
character merchandize sales platform,540000.0,1
Kids Tool kit for Innovation platform,530000.0,1
FMCG,520000.0,3
App Analytics platform,500000.0,1
usiness expense management,500000.0,1
hotel booking app,500000.0,1
Online Table Reservation,500000.0,1
Internet Network Infrastructure Services,500000.0,1
Parents focused Web Content,500000.0,1
Digital Analytics Platform,500000.0,1
Renewable energy solutions,500000.0,1
Ecommerce Marketing Software Platform,500000.0,1
Enterprise Marketing Automation platform,500000.0,1
Online Coupon & comparison platform,500000.0,1
Intra-City Logistics service,500000.0,1
Online Food Community Platform,500000.0,1
Hiring Analytics platform,500000.0,1
Hyperlocal Grocery App,500000.0,1
Consumer Goods,500000.0,2
Medical Consultation & Doctor appointment booking platform,500000.0,1
App security\\xc2\\xa0 testing platform,500000.0,1
Loyalty Programs & Reward Points,500000.0,1
QSR & Online delivery portal,500000.0,1
Professionals & Project Search Marketplace,500000.0,1
Job Board,500000.0,1
Mobile Growth Hacking\\nPlatform,500000.0,1
Smartwatch Maker,500000.0,1
Tech enabled logistics platform,500000.0,1
Video Advertisement Platform,500000.0,1
Taxi Rental platform,500000.0,1
Budget Hotels Aggregator,500000.0,1
Mobile Car Servicing appointment app,500000.0,1
Architectural Design & Consulting,500000.0,1
Auto Insurance Online platform,500000.0,1
Event Ticketing platform,490000.0,1
Health and wellness,486000.0,1
Health Mobile App,470000.0,1
Online Food-Tech Platform,470000.0,1
Online Vehicle Spare Parts etailer,460000.0,1
Online Jewellery etailer,455000.0,1
Public Commute helper App,450000.0,1
B2B Mobile Auction Marketplace,450000.0,1
Wedding Planning Platform,410000.0,1
Employee OnBoarding & Orientation platform,400000.0,1
Professional Service Appointment booking service,400000.0,1
Interactive Educational Games,400000.0,1
Online Student & Campus Social Networking platform,400000.0,1
On-Demand Beauty Service,400000.0,1
Online Interior Designing platform,400000.0,1
Online Counselling and psychological support platform,400000.0,1
Financial Markets Software,400000.0,1
Restaurant Discount app,400000.0,1
Government Test Preparation platform,400000.0,1
Food-Tech,400000.0,1
Custom Furniture Marketplace,395000.0,1
Quick Service Restaurant & Online Delivery,385000.0,1
Movie-on-demand platform,350000.0,1
Mobile Compression Software,350000.0,1
Restaurant Management Platform,350000.0,1
Real Estate Broker Platform App,350000.0,1
Professional Health Services Platform,350000.0,1
Healthy Food Online Community,350000.0,1
Picture creation & Social mobile app,350000.0,1
Preventive Healthcare Services,350000.0,1
Online Loans Marketplace,320000.0,1
Online Grocers,320000.0,1
Non Profit Organization to alleviate poverty,315000.0,1
Internet of Things platform,311000.0,2
on-demand delivery service,310000.0,1
B2B Merchandize platform,303000.0,1
Online Coffee Delivery platform,300000.0,1
Physical Storage warehouses,300000.0,1
Mobile Learning Solutions,300000.0,1
Private Label Apparel sales,300000.0,1
on-demand healthcare marketplace,300000.0,1
Food Customer analytics platform,300000.0,1
Branded Budget Hotel Marketplace,300000.0,1
Clean-tech,293000.0,1
Online Job skills Showcase,270000.0,1
Health and Beauty Services Marketplace,250000.0,1
Bespoke Merchandize Marketplace,250000.0,1
Robotic Program learning,250000.0,1
Peer to Peer Lending platform,250000.0,1
Cricket Management Mobile Game,250000.0,1
Digital Intelligent learning platform,250000.0,1
Online printing marketplace,250000.0,1
Career Development,250000.0,1
Hotel Aggregator & booking platform,250000.0,1
Smart Safety Wearable Devices,250000.0,1
Professional Custom creators Marketplace,250000.0,1
Online Fashion Aggregator,250000.0,1
mobile social network,250000.0,1
Logistics service platform,245000.0,1
Last Mile Logistics,240000.0,1
Real-Time stock data platform,235000.0,1
Mobile Commerce Platform,234000.0,1
Document Digitization platform,230000.0,1
Exam Preparation Platform,220000.0,1
Study Material Marketplace,205000.0,1
Online Products Discovery Platform,200000.0,1
Online Food Ordering & Delivery platform,200000.0,1
Virtual Reality activity based learning platform,200000.0,1
On-Demand Business messaging,200000.0,1
Home Stay & room rentals platform,200000.0,1
Online Art Marketplace,200000.0,1
Inspiration,200000.0,2
Cab search Comparison & Booking platform,200000.0,1
Device Repair Svcs,200000.0,1
International Hiring Platform,200000.0,1
Web Content Publishing,200000.0,1
Ride Sharing platform,190000.0,1
Logistics Intelligence,180000.0,1
Virtual Reality Headset creator,180000.0,1
Chinese food delivery,168000.0,1
Educational Board Games,168000.0,1
Price Comparison,165000.0,1
QSR Restaurant Chain,160000.0,1
Waste Management Solutions,160000.0,1
Online Diagnostic Tests Marketplace,156000.0,1
Nightlife Discovery Mobile App,150000.0,1
Premium Apparel shopping portal,150000.0,1
Online RTI application services,150000.0,1
New Curation Mobile App,150000.0,1
On-demand Maids Service Provider,150000.0,1
Online Food Ordering Marketplace,150000.0,1
Online Movie Review Platform,150000.0,1
Online Medical Diagnostic,150000.0,1
Domestic Help Aggregation platform,150000.0,1
Diagnostic Labs aggregator platform,150000.0,1
Online City & Lifestyle Guide,150000.0,1
Personal Diagnostic Mobile App,150000.0,1
eCommerce Product Search Engine,150000.0,1
Compliance,145000.0,1
Digital Marketing Services,140000.0,1
Ridesharing Mobile app,130000.0,1
coupons and cashback aggregator app,125000.0,1
Consumer Portal,120000.0,1
Social Network for Artists,120000.0,1
Video Streaming,120000.0,1
On Demand Laundry Services App,110000.0,1
Car Maintenance & Management mobile app,100000.0,1
Cab Sharing service Mobile app,100000.0,1
On Demand Mobile app developer,100000.0,1
Industrial Supplies B2B ecommerce,100000.0,1
Home Made Food Marketplace,100000.0,1
Social platform for traders and investors,100000.0,1
Online Car Rental Affiliates,100000.0,1
Subscription based Online Grocery platform,100000.0,1
Fund Raising Platform,100000.0,1
Picture based Social App,100000.0,1
Online Food ordering & Delivery platform,100000.0,1
Travel Destination Discovery platform,100000.0,1
FinTech Startup Incubation platform,100000.0,1
on-Demand Washing & Dry-Cleaning,100000.0,1
ECommerce Brands\\xe2\\x80\\x99 Full Service Agency,100000.0,1
Cloud Based Collaboration platform,100000.0,1
Healthcare Services Discovery platform,100000.0,1
Gym & Fitness Studios Subscription platform,100000.0,1
proximity marketing & Mobile Advertising platform,80000.0,1
Raw Meat & Ready to eat food etailer,77000.0,1
Food Ordering & Delivery App,77000.0,1
Location based Nightlife recommendation\\xc2\\xa0 Platform,77000.0,1
Developer Portfolio Showcase platform,70000.0,1
Personalized Wish List creator app,50000.0,1
Coupon Aggregator Platform,20000.0,1
Online Lingerie platform,0.0,1
Online Lending Marketplace,0.0,1
Online Income Tax Filing platform,0.0,1
Online Identity Verification Services platform,0.0,1
Online Hiring Platform,0.0,2
Online Grocery Store,0.0,1
Digital Media Platform,0.0,1
Digital Marketing automation solution,0.0,1
Holiday Resort Chain,0.0,1
Healthy Meals Food delivery platform,0.0,1
Healthcare Consulting platform,0.0,1
"Health, Wellness & Beauty Services App",0.0,1
Investment management platform,0.0,1
Ethnic/ Traditional Fashion Store,0.0,1
Electronic Goods recycling service,0.0,1
Electric Scooter manufacturer,0.0,1
Education Marketplace,0.0,1
Education Content etailer,0.0,1
Online Education Marketplace,0.0,1
Online Curated Holiday package bookings,0.0,1
Designer Merchandize Marketplace,0.0,1
Online Reputation Management Platform,0.0,1
Online Renting platform,0.0,1
Online Purchase rewards app,0.0,1
Online Printing Services,0.0,1
Online P2P lending marketplace,0.0,1
Online Office Rental,0.0,1
Online News Media,0.0,1
Doctors Network Mobile App,0.0,1
Doctor consultancy Mobile App,0.0,1
Digital Media publishing platform,0.0,1
Online marketplace for Chef Meals,0.0,1
Online Travel Planning,0.0,1
Online Taxi Rental Platform,0.0,1
Online Tailoring Services,0.0,1
Online Shopping Assistant Mobile app,0.0,1
"Digital Coupons, Deal & Cashback aggregator app",0.0,1
Online Car Portal,0.0,1
Online Bus & Cab ticketing platform,0.0,1
Online Apparels Fashion brand,0.0,1
On-Demand Logistics Service,0.0,1
On-Demand Local Logistics provider,0.0,1
On-Demand Laundry & Dry cleaning App,0.0,1
On-Demand Handyman Services,0.0,1
Event Venue Booking Platform,0.0,1
Curated Freelancer Marketplace,0.0,1
Crowdsourced Delivery platform,0.0,1
Payments Solution Provider,0.0,1
Payment Services platform,0.0,1
Parents & Kids Online platform,0.0,1
P2P Pre-owned goods marketplace,0.0,1
P2P Payments platform,0.0,1
Organic Food etailer,0.0,1
Order Fulfillment SAAS platform,0.0,1
Online user engagement platform,0.0,1
Private Jet Bookings Marketplace,0.0,1
Private Cloud Networks SAAS platform,0.0,1
Preventive healthcare services,0.0,1
Prepaid Bill manager App,0.0,1
Pre-owned games Marketplace,0.0,1
Personalized Stock Intelligence Platform,0.0,1
Performance based Wholesale Marketplace,0.0,1
Product Learning platform,0.0,1
Content-based Subscription eCommerce platform,0.0,1
Content Management Software Solutions,0.0,1
Content Discovery & reward points platform,0.0,1
Consumer lending marketplace,0.0,1
Consumer Interne,0.0,1
Product Discovery & comparison App,0.0,1
Product Customization Platform,0.0,1
Mobile Health Tech,0.0,1
Enterprise Communication Platform,0.0,1
Engineering Innovations,0.0,1
Energy saving solutions provider,0.0,1
Energy & Environment Online Marketplace,0.0,1
On-Demand Car services App,0.0,1
On-Demand Beauty Services,0.0,1
On demand cleaning & fixing services,0.0,1
On Demand Laundry Service platform,0.0,1
On Demand Beauty Services Platform,0.0,1
Private Jet/ Helicopter Marketplace,0.0,1
Real Estate focused Tech platform,0.0,1
Real Estate Insights platform,0.0,1
Railways Information Mobile app,0.0,1
Rail Ticket Confirmation predictor,0.0,1
Prepaid Mobile Bill Manager App,0.0,1
Psychometric Test Online Software,0.0,1
Mobile Fitness Marketplace,0.0,1
solar products and services marketplace,0.0,1
Music Streaming mobile app,0.0,1
Auto,0.0,2
Fashion Search & Review Platform,0.0,1
Fashion,0.0,1
Express local delivery platform,0.0,1
Financial Products lead generation platform,0.0,1
Professional Services Marketplace,0.0,1
Artificial Intelligence Ecommerce Chatbot,0.0,1
Reward points mobile app,0.0,1
Restaurant reservation app,0.0,1
Residential Rental management platform,0.0,1
Rental Accomodation finder,0.0,1
\\xc2\\xa0Pre-School Chain,0.0,1
Clud based Learning platform,0.0,1
Cloud Enterprise Mobility Platform,0.0,1
Cloud Based Hotel Sales Platform,0.0,1
online meal-booking platform for train travelers,0.0,1
Clean Tech,0.0,1
Home Fitting & Fixtures Marketplace,0.0,1
Home Design & D\\xc3\\xa9cor platform,0.0,1
Indoor Navigation & Analytics Solutions,0.0,1
Citizens Engagement Platform,0.0,1
on-demand home beauty and wellness portal,0.0,1
Chat based personal Assistant App,0.0,1
Casual Dating App,0.0,1
pre-used luxury item Marketplace,0.0,1
Car & Bike ecommerce platform,0.0,2
pre-owned Luxury online apparel seller,0.0,1
online tiffin service aggregator,0.0,1
Rooftop Solar Plants,0.0,1
online recipe sharing platform,0.0,1
Self-Storage Spaces,0.0,1
Self Driven Car rental,0.0,1
Scientific Horoscope Online Assistance platform,0.0,1
Science Learning App,0.0,1
Intelligent Data Analytics,0.0,1
ecommerce related software product platform,0.0,1
Industrial Toons Marketplace,0.0,1
eLearning platform,0.0,1
Hotel Mobile CRM Software platform,0.0,1
Home rental platform,0.0,1
eCommerce returns etailer,0.0,1
us ticketing and fleet management platform,0.0,1
Health & Fitness App,0.0,2
Mobile Food Ordering app,0.0,1
Luxury Apparel rental,0.0,1
Women Lifestyle Marketplace,0.0,1
Logistics Automation Platform,0.0,1
Location based engagement & rewards platform,0.0,1
Hyperlocal grocery delivery,0.0,1
Local Mobile OS,0.0,1
Live video streaming app,0.0,1
Home Improvement Service platform,0.0,1
"Home Healthcare Services platform,",0.0,1
Brand Licensing Startup,0.0,1
Brain Games Platform,0.0,1
"Bike, Appliances Renting marketplace",0.0,1
Spam Call block App,0.0,1
